user_email,role,page_viewed,card_interacted,view_date,session_duration_seconds
ceo@company.com,executive,Pipeline Intelligence,Pipeline by Specialty,2026-03-06,518
ceo@company.com,executive,Pipeline Intelligence,Territory Alignment,2026-03-06,518
ceo@company.com,executive,Procedure Detail,Metric Comparison,2026-03-06,121
ceo@company.com,executive,Procedure Detail,Facility Mix Trend,2026-03-06,121
vp.sales@company.com,executive,Market Intelligence,Compression Trend,2026-03-06,364
vp.sales@company.com,executive,Market Intelligence,Territory Map,2026-03-06,364
vp.sales@company.com,executive,Market Intelligence,Volume vs Compression,2026-03-06,364
analyst.derm@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-06,316
analyst.derm@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-06,316
analyst.derm@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-06,316
analyst.derm@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-06,60
analyst.derm@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-06,60
analyst.derm@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-06,60
analyst.gastro@company.com,specialty_analyst,Pipeline Intelligence,Territory Alignment,2026-03-06,214
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-06,45
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-06,45
analyst.ortho@company.com,specialty_analyst,Adoption Tracking,Active vs Provisioned,2026-03-06,211
analyst.ortho@company.com,specialty_analyst,Adoption Tracking,Weekly Active Users,2026-03-06,211
analyst.ortho@company.com,specialty_analyst,Market Intelligence,Volume vs Compression,2026-03-06,152
analyst.ortho@company.com,specialty_analyst,Market Intelligence,Compression Trend,2026-03-06,152
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-06,128
analyst.ent@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-06,161
analyst.ent@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-06,161
analyst.ent@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-06,64
analyst.ent@company.com,specialty_analyst,Market Intelligence,Pressure Index Ranking,2026-03-06,64
analyst.ent@company.com,specialty_analyst,Market Intelligence,Compression Drivers,2026-03-06,64
sales.northeast@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-06,82
sales.northeast@company.com,regional_sales,Market Intelligence,Compression Drivers,2026-03-06,82
sales.northeast@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-06,82
sales.southeast@company.com,regional_sales,Procedure Detail,Payment vs Benchmark,2026-03-06,249
sales.southeast@company.com,regional_sales,Procedure Detail,Facility Mix Trend,2026-03-06,249
sales.southeast@company.com,regional_sales,Procedure Detail,Outlier Procedures,2026-03-06,249
sales.southeast@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-06,196
sales.southeast@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-06,196
sales.southeast@company.com,regional_sales,Market Intelligence,Volume vs Compression,2026-03-06,196
vp.sales@company.com,executive,Adoption Tracking,Weekly Active Users,2026-03-07,389
vp.sales@company.com,executive,Adoption Tracking,Active vs Provisioned,2026-03-07,389
vp.sales@company.com,executive,Procedure Detail,Facility Mix Trend,2026-03-07,443
vp.sales@company.com,executive,Procedure Detail,Metric Comparison,2026-03-07,443
vp.sales@company.com,executive,Procedure Detail,Payment vs Benchmark,2026-03-07,443
vp.sales@company.com,executive,Market Intelligence,Compression Trend,2026-03-07,473
vp.sales@company.com,executive,Market Intelligence,Volume vs Compression,2026-03-07,473
sales.southeast@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-07,583
sales.southeast@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-07,583
sales.southeast@company.com,regional_sales,Market Intelligence,Pressure Index Ranking,2026-03-07,297
sales.southeast@company.com,regional_sales,Market Intelligence,Volume vs Compression,2026-03-07,297
sales.southeast@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-07,297
sales.west@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-07,98
sales.west@company.com,regional_sales,Pipeline Intelligence,Territory Alignment,2026-03-07,98
sales.west@company.com,regional_sales,Market Intelligence,Compression Drivers,2026-03-07,448
sales.west@company.com,regional_sales,Market Intelligence,Volume vs Compression,2026-03-07,448
sales.west@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-07,448
vp.sales@company.com,executive,Pipeline Intelligence,Market-Validated Pipeline,2026-03-08,433
vp.sales@company.com,executive,Pipeline Intelligence,Pipeline by Specialty,2026-03-08,433
kristen.martino@company.com,finance_admin,Market Intelligence,Compression Trend,2026-03-09,394
ceo@company.com,executive,Pipeline Intelligence,Territory Alignment,2026-03-09,99
ceo@company.com,executive,Pipeline Intelligence,Market-Validated Pipeline,2026-03-09,99
ceo@company.com,executive,Pipeline Intelligence,Pipeline by Specialty,2026-03-09,99
ceo@company.com,executive,Market Intelligence,Territory Map,2026-03-09,193
ceo@company.com,executive,Market Intelligence,Volume vs Compression,2026-03-09,193
analyst.derm@company.com,specialty_analyst,Pipeline Intelligence,Territory Alignment,2026-03-09,524
analyst.derm@company.com,specialty_analyst,Pipeline Intelligence,Pipeline by Specialty,2026-03-09,524
analyst.gastro@company.com,specialty_analyst,Pipeline Intelligence,Market-Validated Pipeline,2026-03-09,265
analyst.gastro@company.com,specialty_analyst,Pipeline Intelligence,Pipeline by Specialty,2026-03-09,265
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-09,213
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-09,213
analyst.gastro@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-09,528
analyst.gastro@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-09,528
analyst.gastro@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-09,528
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Volume vs Compression,2026-03-09,454
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-09,454
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-09,373
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-09,373
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-09,373
analyst.ortho@company.com,specialty_analyst,Market Intelligence,Pressure Index Ranking,2026-03-09,34
analyst.ortho@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-09,34
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-09,102
analyst.ophtho@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-09,244
analyst.ophtho@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-09,244
analyst.ent@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-09,200
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-09,56
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-09,56
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Territory Alignment,2026-03-09,56
sales.southeast@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-09,503
sales.southeast@company.com,regional_sales,Pipeline Intelligence,Territory Alignment,2026-03-09,503
sales.southeast@company.com,regional_sales,Market Intelligence,Volume vs Compression,2026-03-09,192
sales.southeast@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-09,192
sales.southeast@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-09,192
sales.midwest@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-09,368
sales.midwest@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-09,368
sales.west@company.com,regional_sales,Pipeline Intelligence,Territory Alignment,2026-03-09,98
sales.west@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-09,98
sales.west@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-09,174
sales.west@company.com,regional_sales,Market Intelligence,Compression Drivers,2026-03-09,174
kristen.martino@company.com,finance_admin,Pipeline Intelligence,Territory Alignment,2026-03-10,194
kristen.martino@company.com,finance_admin,Pipeline Intelligence,Pipeline by Specialty,2026-03-10,194
kristen.martino@company.com,finance_admin,Pipeline Intelligence,Market-Validated Pipeline,2026-03-10,194
analyst.derm@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-10,565
analyst.derm@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-10,565
analyst.derm@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-10,565
analyst.derm@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-10,440
analyst.derm@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-10,440
analyst.derm@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-10,326
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Compression Trend,2026-03-10,441
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-10,441
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Compression Drivers,2026-03-10,441
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-10,494
analyst.ortho@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-10,494
analyst.ortho@company.com,specialty_analyst,PDP Governance,Verify Checks,2026-03-10,372
analyst.ortho@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-10,372
analyst.ophtho@company.com,specialty_analyst,Pipeline Intelligence,Market-Validated Pipeline,2026-03-10,284
analyst.ophtho@company.com,specialty_analyst,Pipeline Intelligence,Pipeline by Specialty,2026-03-10,284
analyst.ophtho@company.com,specialty_analyst,Pipeline Intelligence,Territory Alignment,2026-03-10,284
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-10,334
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-10,334
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-10,334
analyst.ent@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-10,359
analyst.ent@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-10,359
analyst.ent@company.com,specialty_analyst,PDP Governance,Access Matrix,2026-03-10,191
analyst.ent@company.com,specialty_analyst,Market Intelligence,Volume vs Compression,2026-03-10,182
analyst.ent@company.com,specialty_analyst,Market Intelligence,Compression Drivers,2026-03-10,182
analyst.ent@company.com,specialty_analyst,Market Intelligence,Compression Trend,2026-03-10,182
sales.northeast@company.com,regional_sales,Market Intelligence,Compression Drivers,2026-03-10,207
sales.northeast@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-10,207
sales.northeast@company.com,regional_sales,Market Intelligence,Pressure Index Ranking,2026-03-10,207
sales.southwest@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-10,272
sales.southwest@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-10,272
sales.southwest@company.com,regional_sales,Market Intelligence,Volume vs Compression,2026-03-10,272
kristen.martino@company.com,finance_admin,Adoption Tracking,Active vs Provisioned,2026-03-11,133
kristen.martino@company.com,finance_admin,Procedure Detail,Payment vs Benchmark,2026-03-11,54
kristen.martino@company.com,finance_admin,Procedure Detail,Metric Comparison,2026-03-11,54
kristen.martino@company.com,finance_admin,Procedure Detail,Outlier Procedures,2026-03-11,54
ceo@company.com,executive,Pipeline Intelligence,Territory Alignment,2026-03-11,384
ceo@company.com,executive,Pipeline Intelligence,Market-Validated Pipeline,2026-03-11,384
ceo@company.com,executive,Pipeline Intelligence,Pipeline by Specialty,2026-03-11,384
ceo@company.com,executive,Market Intelligence,Territory Map,2026-03-11,300
analyst.derm@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-11,150
analyst.derm@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-11,150
analyst.derm@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-11,150
analyst.derm@company.com,specialty_analyst,Market Intelligence,Volume vs Compression,2026-03-11,319
analyst.derm@company.com,specialty_analyst,Market Intelligence,Compression Drivers,2026-03-11,319
analyst.derm@company.com,specialty_analyst,Market Intelligence,Pressure Index Ranking,2026-03-11,319
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-11,451
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-11,451
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-11,506
analyst.ortho@company.com,specialty_analyst,Pipeline Intelligence,Pipeline by Specialty,2026-03-11,130
analyst.ortho@company.com,specialty_analyst,Pipeline Intelligence,Territory Alignment,2026-03-11,130
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-11,357
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-11,357
analyst.ent@company.com,specialty_analyst,Procedure Detail,Outlier Procedures,2026-03-11,185
analyst.ent@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-11,185
sales.midwest@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-11,510
sales.midwest@company.com,regional_sales,PDP Governance,Access Matrix,2026-03-11,231
sales.midwest@company.com,regional_sales,PDP Governance,Role Distribution,2026-03-11,231
sales.midwest@company.com,regional_sales,PDP Governance,Verify Checks,2026-03-11,231
sales.southwest@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-11,31
sales.southwest@company.com,regional_sales,Market Intelligence,Territory Map,2026-03-11,345
sales.southwest@company.com,regional_sales,Market Intelligence,Compression Drivers,2026-03-11,345
sales.southwest@company.com,regional_sales,Market Intelligence,Pressure Index Ranking,2026-03-11,345
sales.west@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-11,86
sales.west@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-11,86
sales.west@company.com,regional_sales,PDP Governance,Verify Checks,2026-03-11,430
kristen.martino@company.com,finance_admin,Procedure Detail,Outlier Procedures,2026-03-12,419
kristen.martino@company.com,finance_admin,Procedure Detail,Payment vs Benchmark,2026-03-12,419
kristen.martino@company.com,finance_admin,Market Intelligence,Compression Drivers,2026-03-12,311
ceo@company.com,executive,Procedure Detail,Facility Mix Trend,2026-03-12,479
ceo@company.com,executive,Procedure Detail,Payment vs Benchmark,2026-03-12,479
vp.sales@company.com,executive,Market Intelligence,Territory Map,2026-03-12,237
vp.sales@company.com,executive,Market Intelligence,Compression Drivers,2026-03-12,237
vp.sales@company.com,executive,Market Intelligence,Compression Trend,2026-03-12,237
analyst.derm@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-12,512
analyst.derm@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-12,483
analyst.derm@company.com,specialty_analyst,Market Intelligence,Volume vs Compression,2026-03-12,483
analyst.derm@company.com,specialty_analyst,Market Intelligence,Compression Trend,2026-03-12,483
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Pressure Index Ranking,2026-03-12,303
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Compression Trend,2026-03-12,303
analyst.gastro@company.com,specialty_analyst,Market Intelligence,Territory Map,2026-03-12,303
analyst.ortho@company.com,specialty_analyst,PDP Governance,Role Distribution,2026-03-12,44
analyst.ophtho@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-12,126
analyst.ent@company.com,specialty_analyst,Procedure Detail,Payment vs Benchmark,2026-03-12,390
analyst.ent@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-12,390
analyst.ent@company.com,specialty_analyst,Market Intelligence,Volume vs Compression,2026-03-12,416
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Market-Validated Pipeline,2026-03-12,516
sales.northeast@company.com,regional_sales,Pipeline Intelligence,Pipeline by Specialty,2026-03-12,516
sales.northeast@company.com,regional_sales,Market Intelligence,Volume vs Compression,2026-03-12,345
sales.northeast@company.com,regional_sales,Market Intelligence,Compression Trend,2026-03-12,345
vp.sales@company.com,executive,Pipeline Intelligence,Market-Validated Pipeline,2026-03-13,370
vp.sales@company.com,executive,Pipeline Intelligence,Territory Alignment,2026-03-13,370
vp.sales@company.com,executive,Market Intelligence,Compression Drivers,2026-03-13,418
vp.sales@company.com,executive,Market Intelligence,Territory Map,2026-03-13,418
analyst.derm@company.com,specialty_analyst,Adoption Tracking,Weekly Active Users,2026-03-13,346
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Metric Comparison,2026-03-13,452
analyst.gastro@company.com,specialty_analyst,Procedure Detail,Facility Mix Trend,2026-03-13,452
